"id","title","source","jurisdiction","status","changes","last_seen","url"
"us-fda-animal-recalls/2026-09-08-db4bc500","Vet Plus, Inc.: FI","us-fda-animal-recalls","US","listed","1","2026-09-08 20:19:14","https://pawmultiverse.com/r/us/us-fda-animal-recalls/2026-09-08-db4bc500/"
"ca-recalls-pet/22524","Various Diamond Pet Food Products","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/22524/"
"ca-recalls-pet/22416","Kirkland Signature Dry Pet Food and Nature's Domain Dry Pet Food","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/22416/"
"ca-recalls-pet/22410","Dick Van Patten's Natural Balance Pet Foods, Inc.","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/22410/"
"ca-recalls-pet/49128","Dry pet food manufactured by Natura Pet Products Inc.","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/49128/"
"ca-recalls-pet/49246","Expanded recall: Dry pet food manufactured by Natura Pet Products, Inc.","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/49246/"
"ca-recalls-pet/50037","Expanded recall: Various dry pet food products and treats manufactured by Natura Pet Products, Inc.","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/50037/"
"ca-recalls-pet/50166","Your True Companion Pet Products Recalls True Raw Choice Bulk Dehydrated Natural Pet Treats","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/50166/"
"ca-recalls-pet/53631","Nature's Variety recalls Instinct® Raw Chicken Formula for Dogs","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/53631/"
"ca-recalls-pet/54189","Stella &#038; Chewy's® recalls Stella's Super Beef Frozen Dinner Morsels for Dogs","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/54189/"
"ca-recalls-pet/55227","Radagast Pet Food, Inc. recalls Rad Cat Raw Diet®","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/55227/"
"ca-recalls-pet/56943","Euro-Can Manufacturing Inc. recalls bulk and prepackaged Junglemax and Selection brand pig ears sold as dog treats","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/56943/"
"ca-recalls-pet/58185","Radagast Pet Food Inc. recalls Rad Cat Raw Diet Free-Range Pet Food","ca-recalls-pet","CA","listed","1","2026-09-07 08:51:49","https://pawmultiverse.com/r/ca/ca-recalls-pet/58185/"
